# Configurazione 1
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 1 | Tempo: 113,5962 | Attesa: 0 | Distanza: 130,0504
SauterellePattern | soddisfatto | Visitati: 10 | Non visitati: 1 | Tempo: 166,0901 | Attesa: 5,265427 | Distanza: 150,4584
SauterellePattern | insoddisfatto | Visitati: 5 | Non visitati: 2 | Tempo: 107,6532 | Attesa: 11,58626 | Distanza: 159,867
SauterellePattern | soddisfatto | Visitati: 4 | Non visitati: 1 | Tempo: 94,11391 | Attesa: 0 | Distanza: 93,65349
PoissonPattern | soddisfatto | Visitati: 9 | Non visitati: 1 | Tempo: 175,869 | Attesa: 15,33822 | Distanza: 132,4562
FourmiPattern | insoddisfatto | Visitati: 6 | Non visitati: 2 | Tempo: 218,5208 | Attesa: 15,92062 | Distanza: 174,0893
PoissonPattern | soddisfatto | Visitati: 12 | Non visitati: 0 | Tempo: 206,0342 | Attesa: 0 | Distanza: 133,3429
PoissonPattern | soddisfatto | Visitati: 11 | Non visitati: 0 | Tempo: 205,7479 | Attesa: 0 | Distanza: 141,7936
PoissonPattern | soddisfatto | Visitati: 13 | Non visitati: 1 | Tempo: 302,629 | Attesa: 1,260209 | Distanza: 260,0027
FourmiPattern | soddisfatto | Visitati: 8 | Non visitati: 1 | Tempo: 272,2757 | Attesa: 5,193737 | Distanza: 156,4947
PoissonPattern | soddisfatto | Visitati: 12 | Non visitati: 1 | Tempo: 248,9282 | Attesa: 8,911794 | Distanza: 169,4956
# Configurazione 1
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 1 | Tempo: 89,64713 | Attesa: 0 | Distanza: 118,2857
SauterellePattern | soddisfatto | Visitati: 8 | Non visitati: 0 | Tempo: 115,6353 | Attesa: 0 | Distanza: 155,8704
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 1 | Tempo: 94,95267 | Attesa: 20,40379 | Distanza: 109,8774
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 0 | Tempo: 90,22852 | Attesa: 0,629415 | Distanza: 110,6683
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 2
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 1 | Tempo: 114,1985 | Attesa: 11,96723 | Distanza: 109,8425
SauterellePattern | soddisfatto | Visitati: 4 | Non visitati: 0 | Tempo: 106,739 | Attesa: 0 | Distanza: 143,5552
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 0 | Tempo: 123,706 | Attesa: 0 | Distanza: 107,3277
SauterellePattern | soddisfatto | Visitati: 5 | Non visitati: 0 | Tempo: 104,2637 | Attesa: 0 | Distanza: 127,9586
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 1 | Tempo: 213,5749 | Attesa: 6,830453 | Distanza: 142,7707
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 1 | Tempo: 116,204 | Attesa: 0 | Distanza: 116,5516
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 0 | Tempo: 206,4374 | Attesa: 0 | Distanza: 154,1929
SauterellePattern | soddisfatto | Visitati: 5 | Non visitati: 1 | Tempo: 121,7161 | Attesa: 0 | Distanza: 132,3355
SauterellePattern | insoddisfatto | Visitati: 4 | Non visitati: 2 | Tempo: 174,0773 | Attesa: 0 | Distanza: 175,4281
FourmiPattern | soddisfatto | Visitati: 8 | Non visitati: 1 | Tempo: 266,3574 | Attesa: 0,132967 | Distanza: 113,92
SauterellePattern | insoddisfatto | Visitati: 4 | Non visitati: 2 | Tempo: 128,0597 | Attesa: 1,502846 | Distanza: 157,4047
PoissonPattern | soddisfatto | Visitati: 10 | Non visitati: 0 | Tempo: 270,7823 | Attesa: 4,196033 | Distanza: 244,8501
SauterellePattern | soddisfatto | Visitati: 4 | Non visitati: 1 | Tempo: 126,9286 | Attesa: 8,255621 | Distanza: 142,9421
FourmiPattern | soddisfatto | Visitati: 7 | Non visitati: 2 | Tempo: 339,8045 | Attesa: 16,76013 | Distanza: 182,3322
PoissonPattern | soddisfatto | Visitati: 8 | Non visitati: 1 | Tempo: 184,9084 | Attesa: 1,705382 | Distanza: 121,6658
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 1 | Tempo: 121,9304 | Attesa: 0 | Distanza: 108,398
FourmiPattern | soddisfatto | Visitati: 7 | Non visitati: 1 | Tempo: 336,3796 | Attesa: 8,10084 | Distanza: 229,3313
PoissonPattern | soddisfatto | Visitati: 11 | Non visitati: 0 | Tempo: 256,9595 | Attesa: 8,586733 | Distanza: 182,4204
PoissonPattern | insoddisfatto | Visitati: 14 | Non visitati: 22 | Tempo: 428,5269 | Attesa: 93,0796 | Distanza: 413,2734
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 2
